trade_id,politician,ticker,action,amount_range,transaction_date,report_date,ticker_type,copied_at,order_id,qty,side,status,excess_return_pct,notes
Markwayne Mullin_2026-02-25_UNH_Purchase,Markwayne Mullin,UNH,Purchase,"$50,001 - $100,000",2026-02-25,2026-03-10,Stock,2026-05-29T20:25:58.852314,SKIPPED,0,,skipped,23.7384304267483,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-25_INTU_Sale (Full),Markwayne Mullin,INTU,Sale (Full),"$15,001 - $50,000",2026-02-25,2026-03-10,Stock,2026-05-29T20:25:58.853037,SKIPPED,0,,skipped,-23.5322838865629,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-25_AZO_Sale (Full),Markwayne Mullin,AZO,Sale (Full),"$50,001 - $100,000",2026-02-25,2026-03-10,Stock,2026-05-29T20:25:58.853682,SKIPPED,0,,skipped,-28.4328496647945,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_AIT_Sale (Full),Markwayne Mullin,AIT,Sale (Full),"$1,001 - $15,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.855388,SKIPPED,0,,skipped,-4.03109251548933,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_DELL_Sale (Full),Markwayne Mullin,DELL,Sale (Full),"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.856132,SKIPPED,0,,skipped,230.731730224744,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_IRM_Sale (Full),Markwayne Mullin,IRM,Sale (Full),"$1,001 - $15,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.856640,SKIPPED,0,,skipped,30.5504589261213,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_FCFS_Purchase,Markwayne Mullin,FCFS,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.857124,SKIPPED,0,,skipped,17.989247422303,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_APG_Purchase,Markwayne Mullin,APG,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.857612,SKIPPED,0,,skipped,-12.0723104251283,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_C_Purchase,Markwayne Mullin,C,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.858119,SKIPPED,0,,skipped,-2.75699321204893,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_COHR_Sale (Full),Markwayne Mullin,COHR,Sale (Full),"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.858626,SKIPPED,0,,skipped,55.5068043593993,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_LRN_Purchase,Markwayne Mullin,LRN,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.859138,SKIPPED,0,,skipped,-1.82316886019725,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_MCK_Purchase,Markwayne Mullin,MCK,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.859659,SKIPPED,0,,skipped,-19.4503340499825,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_MPWR_Purchase,Markwayne Mullin,MPWR,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.860166,SKIPPED,0,,skipped,28.6537239365906,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_MTZ_Sale (Full),Markwayne Mullin,MTZ,Sale (Full),"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.860674,SKIPPED,0,,skipped,48.3801023932913,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_ADBE_Purchase,Markwayne Mullin,ADBE,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.861172,SKIPPED,0,,skipped,-18.7722698035667,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_AMKR_Purchase,Markwayne Mullin,AMKR,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.861677,SKIPPED,0,,skipped,47.1313688579123,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_CRDO_Sale (Full),Markwayne Mullin,CRDO,Sale (Full),"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.862184,SKIPPED,0,,skipped,126.48701231337,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_CRS_Purchase,Markwayne Mullin,CRS,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.862696,SKIPPED,0,,skipped,29.77280871399,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_GS_Sale (Full),Markwayne Mullin,GS,Sale (Full),"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.863224,SKIPPED,0,,skipped,2.01032837496082,Skipped: unsupported type Stock
Markwayne Mullin_2026-02-04_VSEC_Purchase,Markwayne Mullin,VSEC,Purchase,"$15,001 - $50,000",2026-02-04,2026-03-02,Stock,2026-05-29T20:25:58.863758,SKIPPED,0,,skipped,-13.9105814734092,Skipped: unsupported type Stock
Markwayne Mullin_2026-01-05_MCK_Purchase,Markwayne Mullin,MCK,Purchase,"$15,001 - $50,000",2026-01-05,2026-02-04,Stock,2026-05-29T20:25:58.864253,SKIPPED,0,,skipped,-19.501426387527,Skipped: unsupported type Stock
Markwayne Mullin_2026-01-05_VSEC_Purchase,Markwayne Mullin,VSEC,Purchase,"$15,001 - $50,000",2026-01-05,2026-02-04,Stock,2026-05-29T20:25:58.864809,SKIPPED,0,,skipped,-15.6790872957368,Skipped: unsupported type Stock
Markwayne Mullin_2026-01-05_AMKR_Purchase,Markwayne Mullin,AMKR,Purchase,"$15,001 - $50,000",2026-01-05,2026-02-04,Stock,2026-05-29T20:25:58.865315,SKIPPED,0,,skipped,33.4811507014133,Skipped: unsupported type Stock
