#,date,symbol,direction,entry_time_et,exit_time_et,qty,fill,exit_price,pnl,fee,equity_after_this_trade_closed
1,2026-08-03,QQQ,CALL,09:35,09:41,1,1.15,1.9,75.0,1.5,273.5
2,2026-08-03,NVDA,CALL,09:45,10:03,2,0.93,2.47,308.0,3.0,578.5
3,2026-08-03,INTC,CALL,10:55,11:10,4,0.85,0.59,-104.0,6.0,468.5
4,2026-08-03,MSFT,CALL,11:30,11:38,2,1.41,2.02,122.0,3.0,581.5
5,2026-08-03,IWM,CALL,11:35,11:45,4,0.22,0.26,16.0,6.0,597.5
6,2026-08-04,MSFT,PUT,09:40,09:57,1,4.01,2.8,-121.0,1.5,475.0
7,2026-08-05,IWM,CALL,09:35,10:01,3,1.05,1.26,63.0,4.5,533.5
8,2026-08-05,SPY,CALL,10:05,10:24,1,2.12,1.44,-68.0,1.5,464.0
9,2026-08-05,TSLA,PUT,10:25,10:34,1,2.1,2.24,14.0,1.5,476.5
10,2026-08-05,INTC,PUT,10:35,11:08,4,0.79,0.52,-108.0,6.0,362.5
11,2026-08-05,NVDA,CALL,11:35,11:52,2,0.92,0.61,-62.0,3.0,297.5
12,2026-08-06,SPY,PUT,09:35,09:47,1,1.83,1.2,-63.0,1.5,233.0
13,2026-08-06,IWM,CALL,10:10,10:46,2,0.68,0.46,-44.0,3.0,186.0
14,2026-08-07,SPY,CALL,09:40,10:10,1,1.3,0.82,-48.0,1.5,136.5
15,2026-08-07,IWM,CALL,10:15,10:21,3,0.27,0.5,69.0,4.5,201.0
16,2026-08-07,INTC,CALL,11:55,15:50,1,0.99,0.98,-1.0,1.5,198.5
17,2026-08-10,IWM,PUT,09:40,11:14,2,0.68,0.91,46.0,3.0,241.5
18,2026-08-10,MSFT,CALL,11:20,11:41,2,0.82,1.15,66.0,3.0,304.5
19,2026-08-11,QQQ,PUT,09:35,10:13,1,1.43,0.89,-54.0,1.5,249.0
20,2026-08-11,IWM,CALL,10:45,10:51,2,0.66,0.73,14.0,3.0,260.0
21,2026-08-11,SPY,PUT,11:50,13:18,2,0.81,1.57,152.0,3.0,409.0
